	Dividends_x	Stock Splits	Date	Dividends_y
0	7.44	0.0	2019-04-04	7.44
1	7.93	0.0	2020-04-08	7.93
2	1.69	0.0	2021-04-09	1.69
3	0.0	5.0	2021-04-27	
