	Dividends_x	Stock Splits	Date	Dividends_y
0	0.505	0.0	2019-06-17	0.505
1	0.424	0.0	2019-12-17	0.424
2	0.492	0.0	2020-06-16	0.492
3	0.288	0.0	2020-12-17	0.288
4	0.3	0.0	2021-07-05	0.3
5	0.3	0.0	2022-01-07	0.3
