	Dividends_x	Stock Splits	Date	Dividends_y
0	1.55	0.0	2019-03-01	1.55
1	1.25	0.0	2020-02-28	1.25
2	1.3	0.0	2021-02-12	1.3
3	1.3	0.0	2021-02-22	1.3
