	Dividends_x	Stock Splits	Date	Dividends_y
0	0.311	0.0	2019-05-14	0.311
1	0.408	0.0	2019-11-06	0.408
2	0.312	0.0	2020-05-14	0.312
3	0.2	0.0	2020-11-04	0.2
4	0.197	0.0	2021-05-13	0.197
5	0.305	0.0	2021-11-03	0.305
