	Dividends_x	Stock Splits	Date	Dividends_y
0	0.16	0.0	2019-04-08	0.16
1	0.1	0.0	2019-10-11	0.1
2	0.16	0.0	2020-04-07	0.16
3	0.059	0.0	2021-04-27	0.059
4	0.08	0.0	2021-10-08	0.08
