	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	2.055	0.0	2019-02-07	2.055													
1	2.055	0.0	2019-05-09	2.055													
2	2.055	0.0	2019-08-08	2.055													
48			2024-09-16		BA240920P00200000	200.0	44.0	0.0	0.0	0.0	0.0	1085.0	622.0	1.0000000000000003e-05	True	REGULAR	USD
49			2024-09-16		BA240920P00205000	205.0	48.85	0.0	0.0	0.0	0.0	51.0	22.0	1.0000000000000003e-05	True	REGULAR	USD
50			2024-09-16		BA240920P00210000	210.0	53.95	0.0	0.0	0.0	0.0	235.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
51			2024-09-16		BA240920P00215000	215.0	59.55	0.0	0.0	0.0	0.0	300.0	167.0	1.0000000000000003e-05	True	REGULAR	USD
52			2024-09-16		BA240920P00220000	220.0	63.85	0.0	0.0	0.0	0.0	132.0	61.0	1.0000000000000003e-05	True	REGULAR	USD
53			2024-09-16		BA240920P00225000	225.0	69.5	0.0	0.0	0.0	0.0	46.0	18.0	1.0000000000000003e-05	True	REGULAR	USD
54			2024-09-16		BA240920P00230000	230.0	74.0	0.0	0.0	0.0	0.0	25.0	46.0	1.0000000000000003e-05	True	REGULAR	USD
55			2024-09-16		BA240920P00235000	235.0	79.76	0.0	0.0	0.0	0.0	61.0	31.0	1.0000000000000003e-05	True	REGULAR	USD
56			2024-09-16		BA240920P00255000	255.0	98.74	0.0	0.0	0.0	0.0	55.0	30.0	1.0000000000000003e-05	True	REGULAR	USD
57			2024-09-16		BA240920P00280000	280.0	124.85	0.0	0.0	0.0	0.0	56.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
58			2024-09-16		BA240920C00130000	130.0	25.01	0.0	0.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
59			2024-09-16		BA240920C00135000	135.0	22.29	0.0	0.0	0.0	0.0	4.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
60			2024-09-16		BA240920C00140000	140.0	16.15	0.0	0.0	0.0	0.0	32.0	84.0	1.0000000000000003e-05	True	REGULAR	USD
61			2024-09-16		BA240920C00143000	143.0	13.3	0.0	0.0	0.0	0.0	8.0	5.0	1.0000000000000003e-05	True	REGULAR	USD
62			2024-09-16		BA240920C00145000	145.0	11.25	0.0	0.0	0.0	0.0	23.0	70.0	1.0000000000000003e-05	True	REGULAR	USD
63			2024-09-16		BA240920C00146000	146.0	9.45	0.0	0.0	0.0	0.0	8.0	11.0	1.0000000000000003e-05	True	REGULAR	USD
64			2024-09-16		BA240920C00148000	148.0	8.65	0.0	0.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
65			2024-09-16		BA240920C00149000	149.0	7.66	0.0	0.0	0.0	0.0	30.0	125.0	1.0000000000000003e-05	True	REGULAR	USD
66			2024-09-16		BA240920C00150000	150.0	6.93	0.0	0.0	0.0	0.0	414.0	601.0	1.0000000000000003e-05	True	REGULAR	USD
67			2024-09-16		BA240920C00152500	152.5	5.09	0.0	0.0	0.0	0.0	758.0	295.0	1.0000000000000003e-05	True	REGULAR	USD
68			2024-09-16		BA240920C00155000	155.0	3.4	0.0	0.0	0.0	0.0	2088.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
69			2024-09-16		BA240920C00157500	157.5	2.1	0.0	0.0	0.0	0.0	3666.0	1273.0	0.007822421875	False	REGULAR	USD
70			2024-09-16		BA240920C00160000	160.0	1.3	0.0	0.0	0.0	0.0	9481.0	7986.0	0.062509375	False	REGULAR	USD
71			2024-09-16		BA240920C00162500	162.5	0.77	0.0	0.0	0.0	0.0	2458.0	0.0	0.062509375	False	REGULAR	USD
72			2024-09-16		BA240920C00165000	165.0	0.43	0.0	0.0	0.0	0.0	2580.0	5058.0	0.12500875	False	REGULAR	USD
73			2024-09-16		BA240920C00167500	167.5	0.26	0.0	0.0	0.0	0.0	1045.0	0.0	0.12500875	False	REGULAR	USD
74			2024-09-16		BA240920C00170000	170.0	0.16	0.0	0.0	0.0	0.0	2102.0	6167.0	0.12500875	False	REGULAR	USD
75			2024-09-16		BA240920C00172500	172.5	0.12	0.0	0.0	0.0	0.0	489.0	992.0	0.2500075	False	REGULAR	USD
76			2024-09-16		BA240920C00175000	175.0	0.09	0.0	0.0	0.0	0.0	496.0	7386.0	0.2500075	False	REGULAR	USD
77			2024-09-16		BA240920C00177500	177.5	0.06	0.0	0.0	0.0	0.0	14.0	1251.0	0.2500075	False	REGULAR	USD
78			2024-09-16		BA240920C00180000	180.0	0.06	0.0	0.0	0.0	0.0	566.0	5600.0	0.2500075	False	REGULAR	USD
79			2024-09-16		BA240920C00182500	182.5	0.05	0.0	0.0	0.0	0.0	45.0	567.0	0.2500075	False	REGULAR	USD
80			2024-09-16		BA240920C00185000	185.0	0.04	0.0	0.0	0.0	0.0	182.0	4814.0	0.2500075	False	REGULAR	USD
81			2024-09-16		BA240920C00187500	187.5	0.05	0.0	0.0	0.0	0.0	26.0	1222.0	0.500005	False	REGULAR	USD
82			2024-09-16		BA240920C00190000	190.0	0.02	0.0	0.0	0.0	0.0	79.0	9932.0	0.500005	False	REGULAR	USD
83			2024-09-16		BA240920C00192500	192.5	0.05	0.0	0.0	0.0	0.0	2.0	0.0	0.500005	False	REGULAR	USD
84			2024-09-16		BA240920C00195000	195.0	0.02	0.0	0.0	0.0	0.0	504.0	10184.0	0.500005	False	REGULAR	USD
85			2024-09-16		BA240920C00197500	197.5	0.01	0.0	0.0	0.0	0.0	53.0	0.0	0.500005	False	REGULAR	USD
86			2024-09-16		BA240920C00200000	200.0	0.01	0.0	0.0	0.0	0.0	187.0	9017.0	0.500005	False	REGULAR	USD
87			2024-09-16		BA240920C00202500	202.5	0.01	0.0	0.0	0.0	0.0	5.0	63.0	0.500005	False	REGULAR	USD
88			2024-09-16		BA240920C00205000	205.0	0.01	0.0	0.0	0.0	0.0	40.0	3594.0	0.500005	False	REGULAR	USD
89			2024-09-16		BA240920C00210000	210.0	0.01	0.0	0.0	0.0	0.0	67.0	4051.0	0.500005	False	REGULAR	USD
90			2024-09-16		BA240920C00220000	220.0	0.01	0.0	0.0	0.0	0.0	1.0	4873.0	0.500005	False	REGULAR	USD
91			2024-09-16		BA240920C00225000	225.0	0.01	0.0	0.0	0.0	0.0	53.0	2929.0	0.500005	False	REGULAR	USD
92			2024-09-16		BA240920C00230000	230.0	0.01	0.0	0.0	0.0	0.0	3.0	1196.0	0.500005	False	REGULAR	USD
93			2024-09-16		BA240920C00260000	260.0	0.01	0.0	0.0	0.0	0.0	5.0	682.0	0.500005	False	REGULAR	USD
94			2024-08-29		BA240920P00187500	187.5	13.75	0.0	0.0	0.0	0.0	3.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
95			2024-09-09		BA240920P00192500	192.5	29.55	0.0	0.0	0.0	0.0	2.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
96			2024-09-09		BA240920C00090000	90.0	73.75	0.0	0.0	0.0	0.0	20.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
97			2024-09-09		BA240920C00280000	280.0	0.01	0.0	0.0	0.0	0.0	111.0	1089.0	0.500005	False	REGULAR	USD
98			2024-09-09		BA240920C00285000	285.0	0.01	0.0	0.0	0.0	0.0	110.0	0.0	0.500005	False	REGULAR	USD
99			2024-09-09		BA240920C00290000	290.0	0.01	0.0	0.0	0.0	0.0	100.0	1117.0	0.500005	False	REGULAR	USD
100			2024-09-09		BA240920C00295000	295.0	0.03	0.0	0.0	0.0	0.0	1.0	0.0	0.500005	False	REGULAR	USD
101			2024-09-09		BA240920C00300000	300.0	0.01	0.0	0.0	0.0	0.0	100.0	1299.0	0.500005	False	REGULAR	USD
102			2024-09-09		BA240920C00310000	310.0	0.01	0.0	0.0	0.0	0.0	50.0	397.0	0.500005	False	REGULAR	USD
103			2024-09-09		BA240920C00315000	315.0	0.01	0.0	0.0	0.0	0.0	20.0	1671.0	0.500005	False	REGULAR	USD
104			2024-09-09		BA240920C00320000	320.0	0.01	0.0	0.0	0.0	0.0	20.0	0.0	0.500005	False	REGULAR	USD
