	Dividends_x	Stock Splits	Date	Dividends_y
0	0.151	0.0	2019-01-09	0.151
1	0.2	0.0	2019-07-04	0.2
2	0.168	0.0	2020-01-09	0.168
3	0.232	0.0	2020-07-08	0.232
4	0.168	0.0	2021-01-12	0.168
5	0.252	0.0	2021-07-08	0.252
6	0.17	0.0	2022-01-10	0.17
